iter	Passed	Remaining
0	5	1067
1	9	957
2	14	929
3	18	889
4	25	1000
5	32	1057
6	35	991
7	39	938
8	81	1721
9	85	1622
10	88	1526
11	94	1478
12	97	1406
13	101	1348
14	104	1293
15	108	1246
16	120	1294
17	126	1280
18	129	1234
19	133	1197
20	136	1159
21	149	1209
22	166	1280
23	172	1267
24	175	1230
25	179	1199
26	181	1165
27	184	1135
28	187	1108
29	190	1082
30	194	1058
31	206	1085
32	209	1061
33	213	1040
34	216	1018
35	219	1000
36	222	979
37	225	959
38	227	941
39	231	924
40	233	906
41	241	906
42	256	934
43	259	919
44	280	965
45	290	971
46	295	963
47	299	949
48	303	935
49	307	921
50	310	907
51	313	891
52	316	877
53	320	866
54	326	861
55	332	854
56	338	849
57	343	841
58	373	892
59	383	894
60	386	881
61	407	907
62	440	957
63	443	942
64	446	928
65	449	913
66	452	898
67	455	885
68	461	876
69	465	864
70	470	855
71	479	852
72	482	839
73	500	851
74	506	843
75	531	866
76	535	855
77	539	843
78	543	833
79	552	828
80	567	834
81	571	821
82	609	859
83	616	851
84	626	848
85	630	835
86	633	822
87	640	814
88	642	801
89	647	791
90	653	782
91	656	770
92	659	758
93	662	747
94	665	735
95	668	724
96	671	713
97	674	701
98	677	691
99	680	680
100	698	684
101	701	674
102	721	679
103	725	669
104	729	659
105	735	652
106	742	645
107	745	635
108	749	626
109	767	627
110	770	617
111	773	607
112	777	598
113	781	589
114	786	581
115	790	572
116	804	570
117	807	561
118	810	551
119	813	542
120	816	533
121	819	523
122	822	514
123	825	505
124	832	499
125	835	490
126	838	482
127	841	473
128	844	464
129	848	456
130	851	448
131	855	440
132	859	433
133	866	426
134	870	418
135	873	410
136	878	404
137	881	396
138	884	388
139	887	380
140	901	377
141	918	375
142	921	367
143	924	359
144	928	352
145	932	344
146	936	337
147	941	330
148	959	328
149	961	320
150	990	321
151	996	314
152	999	306
153	1002	299
154	1005	291
155	1007	284
156	1011	276
157	1013	269
158	1016	262
159	1019	254
160	1022	247
161	1027	241
162	1043	236
163	1058	232
164	1067	226
165	1072	219
166	1075	212
167	1079	205
168	1082	198
169	1086	191
170	1089	184
171	1093	177
172	1095	171
173	1099	164
174	1101	157
175	1105	150
176	1121	145
177	1127	139
178	1173	137
179	1176	130
180	1179	123
181	1183	117
182	1186	110
183	1189	103
184	1191	96
185	1195	89
186	1198	83
187	1214	77
188	1216	70
189	1221	64
190	1252	59
191	1256	52
192	1259	45
193	1262	39
194	1265	32
195	1269	25
196	1272	19
197	1275	12
198	1278	6
199	1284	0
